CityState,city,state,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,lat,lng
"KENNEWICK, WA",KENNEWICK,WA,94325,73251,1976,418,1796,21276,650,12677,3281,6657,8592,3390,687,534,14942,44728,3038,1975,524,34.9,34.86666667,35.33333333,68582.0,28474.0,886.3333333,200466.6667,46.145044,-119.1799803
"JOHNSON CITY, TN",JOHNSON CITY,TN,94294,85363,4861,179,1690,2945,597,14197,3466,3448,12615,5285,1480,1719,19150,46782,3022,1131,667,33.925,33.6,34.4,42079.0,21739.0,676.3333333,154766.6667,36.33539,-82.38243075
"WOODSTOCK, GA",WOODSTOCK,GA,94294,80755,6984,324,2475,8107,374,12077,2293,4610,17147,5602,1277,730,8380,51003,2920,2885,775,36.8,36.4,37.4,74383.0,32685.0,1154.5,183200.0,34.123876,-84.514164
"BALLWIN, MO",BALLWIN,MO,94216,82790,2347,81,6510,2811,204,9460,1102,3957,21594,10069,2193,1197,4244,51209,1916,2720,1164,41.25,39.8,42.7,87000.0,41344.0,1084.5,239100.0,38.586759,-90.552492
"MERIDIAN, ID",MERIDIAN,ID,94182,87522,1211,227,2002,7254,430,10999,3075,5089,14397,4302,1074,435,8377,44703,2377,2643,448,35.45,35.35,35.45,63193.0,28224.5,995.5,198100.0,43.6087815,-116.4180835
"RAPID CITY, SD",RAPID CITY,SD,94034,77800,1091,8173,1008,4269,363,14330,3313,6598,12163,4572,1070,669,11485,51122,2349,1406,582,37.83333333,36.7,38.96666667,53969.33333,27666.66667,864.3333333,165266.6667,44.066302,-103.22327
"O FALLON, MO",O FALLON,MO,93844,84600,3950,126,3129,2196,231,13711,2206,5109,14198,6269,590,590,5516,51689,2379,2863,796,36.25,35.55,36.85,76255.0,32944.0,1025.5,194450.0,38.804369,-90.727559
"MIDLOTHIAN, VA",MIDLOTHIAN,VA,93766,75328,10538,201,4567,3089,307,9355,1327,4261,19103,8805,2192,1455,3951,49698,2191,2530,659,39.93333333,38.73333333,40.76666667,93413.66667,43481.66667,1254.666667,300200.0,37.48482567,-77.66742033
"RIO RANCHO, NM",RIO RANCHO,NM,93552,74530,3453,1833,1544,37622,224,12800,2541,6514,10541,4846,861,754,10859,45379,3493,2292,777,36.3,35.1,37.4,60657.0,26835.0,1096.5,174850.0,35.296849,-106.744564
"SYLMAR, CA",SYLMAR,CA,93466,66503,3279,872,5583,70727,2665,13973,1285,3668,7567,1939,563,191,15683,45817,4191,845,453,34.1,33.9,34.2,60361.0,20101.0,1334.0,341200.0,34.326584,-118.382261
"INDIO, CA",INDIO,CA,93369,50856,2780,998,1982,61474,1429,14411,1815,3633,6541,2558,577,449,17449,43863,5882,504,114,35.1,33.75,36.25,53597.5,25341.5,1113.0,222000.0,33.7324715,-116.2256655
"MUNCIE, IN",MUNCIE,IN,93341,80961,6767,97,1333,2126,455,15424,3256,4252,7069,4154,562,1126,22268,45525,5048,921,193,31.6,31.96,31.84,32555.0,15961.8,675.0,75200.0,40.2063062,-85.4022252
"EL MONTE, CA",EL MONTE,CA,93290,50179,500,339,26526,61426,4341,15638,1585,3472,5940,901,223,110,22592,42972,5347,881,269,35.8,34.25,37.55,38070.0,15250.0,1071.0,359350.0,34.0759965,-118.0294005
"QUINCY, MA",QUINCY,MA,93177,60678,4646,114,24833,3038,1476,15874,1924,5461,17993,7359,1423,1265,9446,55973,4401,3058,1223,39.03333333,36.8,41.43333333,67870.0,34905.0,1271.666667,361566.6667,42.26937033,-71.012021
"BRYAN, TX",BRYAN,TX,92947,62118,14375,408,2023,33615,1136,11288,3392,3137,8717,3678,841,1756,20633,47525,3217,1186,381,31.64,30.82,32.22,44763.6,22129.6,815.8,132300.0,30.6914026,-96.373364
"JUPITER, FL",JUPITER,FL,92710,86046,2299,35,2279,11289,684,14437,1297,6346,19189,7107,2667,1202,7208,48459,2488,2055,632,51.725,50.85,52.475,75795.0,48371.5,1405.75,306400.0,26.9452565,-80.140763
"APOPKA, FL",APOPKA,FL,92691,65035,15841,263,2312,22940,1309,16370,2503,6068,9749,4319,723,443,15425,48146,4882,1526,492,38.35,37.35,39.05,54308.0,25561.0,1042.0,146650.0,28.7100205,-81.5165975
"OREM, UT",OREM,UT,92685,82565,947,519,1804,14761,468,6700,1020,5421,11848,3514,837,1158,15061,44855,2762,2342,435,26.96666667,26.36666667,27.73333333,58480.0,21989.0,880.6666667,211233.3333,40.302284,-111.703814
"CLEVELAND, TN",CLEVELAND,TN,92299,84443,4422,105,993,5173,547,15261,4384,4838,8144,3349,599,455,18151,44923,5044,1134,355,37.86666667,36.53333333,39.36666667,42017.66667,22972.33333,726.0,135633.3333,35.147259,-84.87484667
"HERNDON, VA",HERNDON,VA,91885,51893,8507,231,22034,16694,930,6183,618,2851,20647,15608,1776,1337,4203,54508,2571,8552,2927,34.85,34.45,35.05,126788.0,49273.0,1796.0,503150.0,38.951845,-77.3881255
"SPRINGDALE, AR",SPRINGDALE,AR,91859,62394,2061,1045,1924,29065,1316,13926,3006,2243,7875,2438,940,437,19457,43666,2693,1006,335,32.1,31.2,32.9,47681.5,22823.0,701.0,144750.0,36.178666,-94.1454515
"WESTMINSTER, CA",WESTMINSTER,CA,91734,35070,808,438,44214,21263,3241,13641,1519,5687,10674,2458,770,479,16210,46200,4015,1898,462,40.7,40.1,41.6,53378.0,23460.0,1360.0,470400.0,33.752468,-117.993933
"LYNN, MA",LYNN,MA,91612,45185,11788,322,7275,32536,2289,17471,1704,4475,7850,2759,502,261,18392,48350,4381,1087,350,36.15,35.95,36.05,48871.25,24185.25,955.75,234900.0,42.472478,-70.959409
"FLORENCE, SC",FLORENCE,SC,91541,50516,37855,181,1388,1981,526,16592,2058,5549,10333,4283,982,770,16150,45753,5129,1413,249,37.3,36.5,37.93333333,44046.33333,23378.0,691.6666667,134866.6667,34.185792,-79.72182967
"HOLLAND, MI",HOLLAND,MI,91529,75914,2678,696,4255,19689,824,13778,2759,4544,10992,4662,667,762,11374,48130,2862,1797,562,34.8,34.6,35.0,55531.0,25963.0,779.0,140100.0,42.793812,-86.109029
"FORT PIERCE, FL",FORT PIERCE,FL,91472,62026,25621,208,744,12132,1294,19327,3438,6229,6367,3116,587,356,23741,37970,4719,543,93,45.6,45.65,46.35,36314.5,22962.75,828.25,111700.0,27.4507685,-80.3783315
"CHAMPAIGN, IL",CHAMPAIGN,IL,91364,62552,13966,111,11183,5096,159,7828,1159,3884,13074,7866,1816,3476,22025,48906,3460,3296,1147,31.6,30.1,33.0,50582.66667,29038.66667,929.0,157300.0,40.11800567,-88.27482533
"BUFORD, GA",BUFORD,GA,91349,65292,12844,144,6124,14568,624,11442,1885,4868,13475,4553,734,1001,8779,46181,3471,2156,684,35.85,34.4,37.45,69904.0,28063.5,1083.0,180750.0,34.1091415,-83.9861945
"FORT SMITH, AR",FORT SMITH,AR,91333,69999,7831,1037,5141,15761,982,14330,3638,4641,7996,2514,897,555,23342,42286,2491,871,319,37.0,35.6,38.74,41951.6,24948.8,717.8,125320.0,35.3400512,-94.3915114
"MORGANTOWN, WV",MORGANTOWN,WV,91306,82042,3657,100,3203,2060,405,11729,2765,2887,11786,6552,2305,2445,19804,46807,2758,2530,1082,31.63333333,30.96666667,32.66666667,46197.66667,26818.66667,749.3333333,173166.6667,39.62876467,-79.95914867
"MANSFIELD, OH",MANSFIELD,OH,91297,76217,9084,153,834,1669,530,22652,3628,5243,6807,2547,500,359,16028,40318,4004,835,181,39.97142857,38.35714286,43.46666667,38926.5,18431.28571,608.0,92416.66667,40.75186029,-82.53175543
"BATTLE CREEK, MI",BATTLE CREEK,MI,91215,72324,11760,741,2347,4816,470,17811,3545,5539,8300,3031,571,330,16578,42997,4774,1210,349,39.55,38.1,41.025,42089.25,23040.25,690.5,93950.0,42.3303725,-85.19900325
"WOODSIDE, NY",WOODSIDE,NY,90615,43402,2417,328,33794,35174,3992,15048,2280,5375,12947,4550,756,460,14351,48740,2956,1270,588,36.7,36.0,37.5,50436.0,23745.0,1380.0,428200.0,40.744819,-73.905156
"DES PLAINES, IL",DES PLAINES,IL,90447,61505,2593,255,17085,19099,1012,14809,1468,4514,14830,5029,1295,416,9488,49347,3070,2305,807,39.55,37.0,42.55,58806.5,26955.5,980.5,217400.0,42.0144805,-87.8946805
"CHEYENNE, WY",CHEYENNE,WY,90442,79130,2675,844,1083,13122,114,12202,3355,7732,10782,4308,1041,867,9140,48122,2395,1806,417,36.5,35.53333333,37.93333333,60179.66667,29236.66667,826.6666667,184700.0,41.18230233,-104.825854
"DELTONA, FL",DELTONA,FL,90426,72164,9652,607,883,28840,762,19325,3557,6805,6903,1986,422,364,14507,40554,4081,853,351,38.85,37.05,40.45,42651.5,18794.5,1055.0,108850.0,28.895691,-81.217977
"COVINGTON, GA",COVINGTON,GA,90074,45975,40267,360,819,4586,598,14460,3306,4443,7289,2802,503,358,15508,43344,5079,1216,407,35.35,32.9,37.3,47714.5,21299.0,950.0,116900.0,33.5487475,-83.8759025
"ANTIOCH, TN",ANTIOCH,TN,90073,42871,34239,487,3280,13928,1242,13338,1973,4502,13406,4312,627,450,12193,53634,3203,1597,757,31.8,31.6,31.9,48423.0,23287.0,866.0,147600.0,36.052231,-86.632515
"PARKER, CO",PARKER,CO,90070,81797,1106,265,2990,7634,181,7659,982,5214,21134,6931,1227,780,3175,50108,2061,3320,909,38.0,37.75,38.3,102404.0,42843.0,1325.5,343100.0,39.5015155,-104.7247745
"LIVERMORE, CA",LIVERMORE,CA,89913,70436,1170,213,10576,17859,471,9918,613,6229,15874,6321,1084,2118,5008,49567,2492,4285,1128,38.9,37.6,40.05,101750.5,43895.5,1592.5,551500.0,37.635244,-121.6623255
"CANTON, GA",CANTON,GA,89879,78001,5319,101,722,10885,1045,11595,2469,3991,13401,4438,1188,562,11697,44230,2651,1533,282,37.35,36.55,38.0,68017.5,30002.5,964.0,222600.0,34.225965,-84.462465
"PITTSBURG, CA",PITTSBURG,CA,89712,32912,14362,408,12940,40525,1939,12343,1748,4803,7471,1958,377,138,17510,45647,6102,1136,356,33.2,32.5,34.0,56311.0,22189.0,1339.0,233100.0,38.014576,-121.906255
"MONROE, LA",MONROE,LA,89704,35994,51217,257,916,1454,724,13581,2785,2354,8903,3842,949,571,23548,38312,3813,672,206,30.625,30.5,31.1,35651.0,22399.66667,648.6666667,124566.6667,32.5110165,-92.062601
"MEDFORD, OR",MEDFORD,OR,89638,81530,669,551,1076,12779,604,13665,3330,4466,9505,3196,1079,666,19108,42340,4796,914,282,39.25,38.05,40.75,42789.5,23514.0,853.5,200900.0,42.2969695,-122.850669
"UPPER MARLBORO, MD",UPPER MARLBORO,MD,89632,8694,75175,155,2378,2813,343,12970,1284,4383,13878,8308,1056,818,4262,52047,3690,1806,1745,39.95,36.4,42.05,95681.5,41247.5,1733.0,276500.0,38.827403,-76.770586
"MILTON, FL",MILTON,FL,89589,75350,6284,468,2009,4181,381,14995,3820,6473,9233,3394,493,493,12501,40694,3588,1197,115,38.83333333,37.13333333,40.56666667,55355.66667,23737.0,954.0,135300.0,30.69066533,-87.04889367
"CANTON, MI",CANTON,MI,89517,64216,8203,123,14025,2484,432,9716,1165,5473,16485,8733,1642,1166,4922,48308,3179,4269,1081,37.65,36.85,38.35,84593.0,35707.0,1035.0,197000.0,42.3047295,-83.4827545
"CLERMONT, FL",CLERMONT,FL,89357,70800,8780,340,2645,19425,701,13451,2619,6826,11525,3514,884,253,9729,44309,3951,1044,372,38.6,39.3,38.23333333,56353.66667,23696.0,1066.0,154900.0,28.52153533,-81.75229633
"FARMINGTON, MI",FARMINGTON,MI,89133,58889,16728,208,10295,2523,517,9014,1141,4131,18906,11836,2501,1164,7080,47840,2551,4836,1365,42.45,41.2,43.8,71352.0,40154.0,1041.25,200450.0,42.48329825,-83.3776105
"HARLINGEN, TX",HARLINGEN,TX,89038,83095,1204,319,842,70496,2146,11101,2551,4088,7236,2043,511,280,27037,33828,2689,467,92,32.25,30.6,34.15,38771.0,18337.0,730.0,86000.0,26.2246525,-97.709096
"GULFPORT, MS",GULFPORT,MS,89021,55438,29263,296,1130,5259,630,13319,3893,4635,7694,3198,604,442,20646,43114,4607,485,181,35.36666667,34.86666667,36.1,36766.0,21084.66667,829.0,121300.0,30.419354,-89.09659
"WESTERVILLE, OH",WESTERVILLE,OH,88985,74625,6486,158,4111,2031,158,9923,732,4409,21191,8735,1465,1378,4460,50729,2035,2872,824,38.75,38.4,39.2,89646.0,42420.0,1094.5,229600.0,40.1298145,-82.887759
"WILLIAMSBURG, VA",WILLIAMSBURG,VA,88741,69059,13257,357,3393,4834,728,10585,1273,4714,16277,8841,2011,2053,8692,42825,2270,1934,465,35.43333333,34.36666667,36.06666667,70464.0,25870.0,1164.0,311900.0,37.28009367,-76.73442833
"SLIDELL, LA",SLIDELL,LA,88717,65764,18551,462,1385,5663,336,13673,3089,4111,9192,3091,1074,560,12611,43443,3901,1482,563,37.66666667,36.56666667,39.23333333,54136.66667,25651.0,963.0,164866.6667,30.26363933,-89.78393767
"NEWNAN, GA",NEWNAN,GA,88566,64021,19491,149,1957,5824,659,15291,2832,3935,10399,4073,937,349,13722,43820,3365,1140,589,37.35,36.45,38.4,61800.5,28593.0,976.0,175950.0,33.40352,-84.7860355
"NEW BRAUNFELS, TX",NEW BRAUNFELS,TX,88408,80593,1828,288,626,29690,969,12782,2310,4632,12949,3863,691,552,7243,44052,2121,1307,367,39.45,38.0,40.5,71339.0,31975.5,926.0,219950.0,29.7261865,-98.131959
"DORCHESTER, MA",DORCHESTER,MA,88310,23264,36920,471,9590,17107,2029,14904,2220,3045,9360,3578,608,259,24155,47011,6573,1155,531,32.43333333,30.53333333,34.06666667,42131.66667,22450.33333,1082.333333,327833.3333,42.304454,-71.06120333
"HATTIESBURG, MS",HATTIESBURG,MS,88300,50238,34439,171,1327,2546,458,10117,2288,4166,11502,4901,1282,1292,23212,46637,5644,833,535,27.76666667,27.16666667,28.43333333,41110.5,17034.0,780.0,138000.0,31.29875367,-89.33987667
"CHINO, CA",CHINO,CA,88257,47713,4539,798,10416,47128,869,11691,2870,5132,8411,2786,502,196,8402,40554,3932,1287,342,35.95,33.9,36.1,96452.0,18135.0,1969.5,367300.0,33.978685,-117.662011
"FALL RIVER, MA",FALL RIVER,MA,87978,73791,3677,97,2030,7996,2114,16093,4399,5089,5898,1804,347,329,20238,42860,5757,721,278,39.2,36.85,41.125,34261.0,21060.75,723.75,230325.0,41.694204,-71.144209
"NORRISTOWN, PA",NORRISTOWN,PA,87841,59432,17775,107,5734,10160,477,17191,2108,3615,13417,6692,871,1148,10486,46853,3725,3075,1353,38.3,36.65,40.5,62655.0,31563.0,1173.0,219550.0,40.1394265,-75.3535675
"SAINT JOSEPH, MO",SAINT JOSEPH,MO,87616,77645,4793,292,771,5429,498,17109,3809,3333,7685,2929,654,528,15277,44588,3317,893,276,36.63333333,35.36666667,38.18333333,44237.16667,21487.16667,718.0,106016.6667,39.76179067,-94.83080283
"NORWALK, CT",NORWALK,CT,87489,64512,13541,319,3987,21360,486,14365,1165,3946,15530,7539,1998,718,7277,53334,4617,2030,698,43.71666667,42.45,43.28,87327.8,53147.2,1728.8,522080.0,41.101733,-73.4215745
"LOVELAND, CO",LOVELAND,CO,87267,80508,377,468,1208,9098,320,12734,2283,5762,13903,4754,929,1017,7770,46567,3128,2289,644,41.15,39.8,42.75,57621.5,30449.0,998.5,231250.0,40.41036,-105.1137215
"FLAGSTAFF, AZ",FLAGSTAFF,AZ,87170,67273,1951,8567,1793,15624,281,6521,1256,4417,11717,5783,1306,1733,15844,49093,3652,1865,718,27.43333333,26.86666667,28.03333333,54589.5,20961.0,1071.5,267600.0,35.2595925,-111.472954
"NASHUA, NH",NASHUA,NH,87110,73288,2695,83,6659,10024,539,12791,2528,5420,13636,6591,618,809,9379,49968,3436,3955,1036,38.275,37.275,39.375,68551.25,33621.0,1121.25,234500.0,42.756218,-71.48810075
"BREMERTON, WA",BREMERTON,WA,87015,65422,3932,1063,5494,7542,328,12470,2571,6863,9394,2832,532,504,11977,46008,3580,1977,683,34.16,33.06,35.58,51064.25,26806.2,927.75,194975.0,47.5843592,-122.6624762
"GLEN BURNIE, MD",GLEN BURNIE,MD,87008,56919,19067,344,3934,8337,563,17577,2635,5035,8327,3446,408,426,7078,49746,3794,2459,751,36.6,35.45,37.3,65043.5,30733.5,1162.5,239200.0,39.164242,-76.606184
"KINGSPORT, TN",KINGSPORT,TN,86946,80973,2029,202,600,1868,596,17492,4877,4675,9061,3870,1086,852,15710,39350,3584,1539,326,43.125,40.725,44.85,40629.0,24245.0,637.75,128500.0,36.52226975,-82.532559
"POUGHKEEPSIE, NY",POUGHKEEPSIE,NY,86802,56810,17400,349,3881,12079,668,11649,2422,5382,9342,5923,851,1029,12098,45101,4631,1945,611,31.63333333,31.03333333,31.9,58038.5,20303.66667,1094.5,230100.0,41.68868267,-73.88939133
"DECATUR, IL",DECATUR,IL,86274,64849,15658,171,1050,1871,607,16743,3910,4610,8173,3139,683,395,18084,42562,4888,1186,478,38.225,36.325,43.0,35009.5,20387.75,572.25,84600.0,39.8475885,-88.978935
"CITRUS HEIGHTS, CA",CITRUS HEIGHTS,CA,86148,70246,2914,981,2899,15638,633,13961,2077,6991,7936,2323,607,293,13245,44755,5563,1393,634,37.05,34.95,39.9,50087.5,24473.5,1042.5,203500.0,38.695306,-121.2900375
"SUFFOLK, VA",SUFFOLK,VA,86142,45128,35978,124,1194,3102,743,13194,2931,5283,9368,4501,814,367,9835,44666,3426,1945,487,45.58571429,44.67142857,47.01428571,75732.0,35807.71429,1030.833333,269400.0,36.776889,-76.58517257
"SIOUX CITY, IA",SIOUX CITY,IA,86098,71671,2793,1618,2533,15030,832,15229,3177,4332,7489,2610,772,366,12691,45733,2537,836,266,37.075,36.5625,37.3,41188.375,21410.625,663.375,94933.33333,42.5108185,-96.39159238
"JACKSON, TN",JACKSON,TN,86078,48854,34268,122,1165,3318,467,15210,2760,3983,9966,3012,845,990,17609,41084,3644,665,183,36.5,35.1,38.35,41202.0,22168.5,763.5,113150.0,35.644909,-88.8107265
"RICHMOND, CA",RICHMOND,CA,86070,34328,18375,336,9641,39526,1564,11116,1249,4006,8171,3301,908,717,17479,43963,4789,856,576,34.9,33.46666667,36.06666667,52719.66667,24075.33333,1158.0,253566.6667,37.92860575,-122.340877
"SUMTER, SC",SUMTER,SC,85898,43517,38525,125,1010,3491,759,13792,2096,4839,6664,3391,585,539,14708,40298,4281,850,419,36.73333333,34.4,38.66666667,42636.33333,21114.0,805.3333333,108833.3333,33.904428,-80.36762167
"BLOOMINGTON, IL",BLOOMINGTON,IL,85880,68002,8855,163,5959,4716,348,10936,2224,3570,17676,6499,1077,952,10055,47394,2868,4086,1180,35.03333333,34.36666667,35.6,75604.66667,35631.66667,787.3333333,188566.6667,40.45350533,-88.944367
"WALNUT CREEK, CA",WALNUT CREEK,CA,85855,67124,1787,184,11940,7542,183,6503,541,4234,24116,11330,3703,2135,5171,43732,2906,3092,1113,48.025,47.025,49.175,90064.75,53266.75,1573.75,635275.0,37.89479375,-122.0444613
"LIMA, OH",LIMA,OH,85767,69064,12404,279,717,2436,411,19374,2950,5642,5183,2640,845,351,15804,42440,4274,656,164,39.36,37.9,41.5,45572.6,23431.6,661.0,99760.0,40.7377728,-84.1115902
"GERMANTOWN, MD",GERMANTOWN,MD,85625,41813,19780,379,15498,17804,718,8474,709,3903,15121,8915,1109,1781,6386,50441,3060,4592,1859,35.0,33.65,36.4,86564.0,37554.5,1642.5,318300.0,39.17072,-77.26949
"CONYERS, GA",CONYERS,GA,85596,37089,42753,104,1641,9073,686,15160,2026,3974,9725,3325,667,433,14302,42053,4967,1161,340,37.2,35.26666667,38.73333333,49208.66667,22280.33333,922.6666667,135033.3333,33.65849367,-84.008742
"HOUMA, LA",HOUMA,LA,85013,60965,15120,4575,854,4671,962,17807,3363,3061,5762,1758,456,157,15371,39749,2147,981,109,34.8,34.13333333,35.96666667,51843.33333,24362.66667,859.0,155900.0,29.581532,-90.730611
"EASTON, PA",EASTON,PA,84932,67310,7822,409,3606,10543,556,18018,2082,4987,10112,4449,968,750,8172,43902,3460,1444,618,41.8,40.63333333,43.16666667,68883.66667,31932.0,1019.333333,205200.0,40.69787767,-75.24052833
"GARDENA, CA",GARDENA,CA,84825,21231,18169,261,20127,36967,2071,14646,1022,4667,9602,2321,432,328,14745,42394,4340,1038,270,40.33333333,38.06666667,41.63333333,49137.66667,23380.0,1112.333333,362466.6667,33.890225,-118.299256
"BISMARCK, ND",BISMARCK,ND,84787,78079,804,3317,597,1508,220,11596,2048,8253,13528,4018,1224,867,6763,48958,1121,2036,617,36.23333333,34.9,38.23333333,65890.66667,34786.0,767.6666667,201566.6667,46.8194845,-100.7274803
"WATSONVILLE, CA",WATSONVILLE,CA,84779,60070,282,841,2609,60203,2168,9141,1632,3258,5229,1774,722,549,14394,41446,3617,746,180,32.4,31.3,33.7,55019.0,21004.0,1269.0,390700.0,36.946256,-121.756479
"DALLAS, GA",DALLAS,GA,84751,67140,13792,238,509,5539,496,15918,3355,3945,7860,3158,1059,232,10875,44478,3723,1363,440,34.7,33.3,35.6,60887.0,24704.0,985.5,138950.0,33.93677,-84.8654475
"CARSON, CA",CARSON,CA,84709,24304,18811,633,22755,31257,2090,11279,1318,5576,10629,3012,561,336,9126,44196,5676,1158,316,39.25,35.95,41.65,74351.5,25646.5,1477.5,357050.0,33.84826533,-118.2558997
"ALHAMBRA, CA",ALHAMBRA,CA,84683,20566,1351,228,43015,30408,3247,13115,913,4712,13633,4609,973,1019,13252,44265,2969,1962,630,40.85,38.45,42.35,54360.5,25569.0,1200.0,495300.0,34.082732,-118.136743
"CLIFTON, NJ",CLIFTON,NJ,84621,59335,5323,621,7724,30157,935,17565,1515,3632,11591,4168,1116,496,7698,45356,2934,1741,516,38.5,36.8,40.1,77769.0,34933.5,1284.75,330875.0,40.8568495,-74.153205
"WARNER ROBINS, GA",WARNER ROBINS,GA,84447,47652,28246,153,2721,5944,480,13367,2751,5257,7310,3787,604,251,17217,42095,4359,1518,486,30.1,29.26666667,30.76666667,47162.33333,21044.66667,898.6666667,113400.0,32.61381367,-83.62536367
"TUSTIN, CA",TUSTIN,CA,84391,43026,1994,473,17052,33275,1063,8261,980,3725,14227,5282,1745,933,10841,46788,3472,2586,754,35.35,32.95,36.95,83778.5,36276.5,1726.5,568400.0,33.736857,-117.801933
"CICERO, IL",CICERO,IL,84361,37606,2979,596,487,74699,1519,14456,1928,2201,2868,387,44,54,17911,40180,4682,342,115,28.5,28.4,28.5,41866.0,14571.0,857.0,126800.0,41.838036,-87.75987
"ELLICOTT CITY, MD",ELLICOTT CITY,MD,84169,53553,8463,182,18726,2980,401,6428,445,2893,18203,13137,3314,3096,3242,46128,1719,5714,2375,40.9,39.45,41.9,125402.0,52621.5,1542.0,512850.0,39.2665085,-76.8480465
"VICTORIA, TX",VICTORIA,TX,84154,71593,5450,125,1147,37589,913,13875,2953,4656,7151,2383,504,190,13425,41934,2621,836,248,38.23333333,36.96666667,39.33333333,58251.66667,28214.33333,814.3333333,122300.0,28.82485933,-97.01592567
"JONESBORO, GA",JONESBORO,GA,83977,21238,54255,50,3324,9636,1090,15172,2054,3212,6510,2482,662,526,22145,39059,5727,736,238,32.55,31.15,33.8,42904.0,18753.0,925.5,95850.0,33.508886,-84.3522995
"MACOMB, MI",MACOMB,MI,83742,75321,3614,130,2829,2183,516,12831,908,6646,11893,5123,689,295,3477,44195,2150,2529,593,39.05,38.5,39.5,84934.0,32921.0,1282.5,216050.0,42.6669225,-82.9191955
"WALDORF, MD",WALDORF,MD,83520,29578,44714,469,3572,5219,338,14405,1578,4485,9991,4759,528,511,6566,47203,3056,2571,1427,34.83333333,33.73333333,36.13333333,89734.0,36453.33333,1615.666667,264100.0,38.60900333,-76.90763267
"EAU CLAIRE, WI",EAU CLAIRE,WI,83500,76681,686,438,3468,1939,613,12010,1373,6466,10911,4231,882,681,13178,48527,2947,1749,507,33.0,32.35,33.5,48737.5,26083.0,748.5,154050.0,44.794218,-91.516756
"PALM COAST, FL",PALM COAST,FL,83499,66519,10025,126,2256,8691,643,17658,3276,5443,9417,3761,783,410,12336,33712,3271,657,184,49.25,47.75,50.6,49988.5,24668.0,1094.5,170150.0,29.5496275,-81.224446
"SAN PEDRO, CA",SAN PEDRO,CA,83445,55339,5415,401,4883,39592,1202,11030,1596,5199,10122,2918,784,584,14559,43283,5072,1173,344,40.7,39.7,41.65,67779.0,33390.0,1433.0,488750.0,33.736781,-118.2958735
"REDMOND, WA",REDMOND,WA,83401,54897,1198,171,22368,6512,319,4564,443,4324,21152,13727,1540,1864,4824,45210,2249,10267,2541,38.2,37.9,38.5,113719.0,55000.5,1520.5,531850.0,47.675123,-122.0644925
"DANBURY, CT",DANBURY,CT,83338,53464,5911,245,4997,24363,1084,15111,2192,3387,9773,5671,1232,644,9630,49292,4268,1832,480,38.1,37.05,39.3,70711.0,32910.0,1289.0,288950.0,41.398435,-73.4679875
"CANOGA PARK, CA",CANOGA PARK,CA,83324,44522,3168,341,10910,42432,1351,11857,848,3800,9935,3262,854,344,15439,44536,3655,1519,474,34.25,33.55,34.75,53566.0,22988.0,1233.5,407550.0,34.211244,-118.6166535
"OWENSBORO, KY",OWENSBORO,KY,83272,75236,4416,167,876,2513,605,16612,3731,4777,6837,3606,777,483,13684,39615,2816,817,278,38.7,36.8,40.3,44078.0,23654.5,643.5,114200.0,37.747602,-87.147991
"DOTHAN, AL",DOTHAN,AL,83176,55209,24674,271,745,2655,838,14269,3182,4834,8141,3110,951,461,15224,39226,3355,787,178,38.33333333,36.76666667,39.56666667,46887.66667,26581.66667,728.0,139433.3333,31.203735,-85.43187
"CORDOVA, TN",CORDOVA,TN,83001,44922,30517,76,4070,4670,134,8903,1283,4143,15342,5565,1280,879,6685,47510,2187,1733,1050,34.95,33.35,35.9,67431.5,32357.0,1032.0,152800.0,35.1600085,-89.760034
"STERLING, VA",STERLING,VA,82891,51729,6938,261,12777,18520,1162,8864,825,3634,16617,8168,1075,934,4502,48843,2075,4256,1584,35.26666667,34.76666667,35.7,105758.0,41664.66667,1740.333333,376400.0,39.01917067,-77.414513
"GARY, IN",GARY,IN,82817,13962,64555,139,446,5062,660,16612,2667,4165,4255,2005,246,240,30021,32942,5873,219,103,37.22857143,34.62857143,39.21428571,27233.85714,15669.14286,724.1428571,67071.42857,41.581023,-87.34255329
"CONWAY, AR",CONWAY,AR,82783,65235,12950,283,1482,3835,439,10689,2092,3789,10007,4394,703,991,13164,43891,3041,1741,550,27.06666667,26.26666667,28.03333333,49741.0,17044.33333,729.0,149000.0,35.06474767,-92.435359
"WESTLAND, MI",WESTLAND,MI,82648,60724,15628,322,3539,2376,719,16925,2094,5314,7586,2700,328,192,12925,43073,3977,1556,487,38.95,37.25,40.7,44669.5,24411.0,819.0,91050.0,42.3138325,-83.377474
"TROY, MI",TROY,MI,82542,57549,3399,292,18680,2144,830,7575,687,3933,16946,11271,2984,1916,5656,42623,2627,4770,1410,41.55,40.95,42.15,87922.5,40271.5,1141.25,241550.0,42.58002975,-83.1482815
"GREENWOOD, IN",GREENWOOD,IN,82115,74750,2301,28,2504,3244,225,14228,2380,5230,11930,4702,715,538,8168,43183,2824,2004,496,37.3,35.65,39.35,66886.5,31303.0,812.0,159200.0,39.608835,-86.145819
